rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
264,1712427975,0,17.053236,0,18.26.13,39.7923271,-86.23865392,11.2,,,,,,,,,9138.377,0,45328,18797,,,1,1,0
265,1712427975,0.100000143,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,9309.265,170.888,45289,18956,,,1,1,0
266,1712427975,0.190000057,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,9309.265,170.888,45289,18956,,,1,1,0
267,1712427975,0.289999962,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,9483.139,344.762,45250,19122,,,1,1,0
268,1712427975,0.390000105,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,9483.139,344.762,45250,19122,,,1,1,0
269,1712427975,0.5,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,9657.287,518.91,45212,19255,,,1,1,0
270,1712427975,0.590000153,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,9657.287,518.91,45212,19255,,,1,1,0
271,1712427976,0.690000057,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,9831.972,693.595,45175,19416,,,1,1,0
272,1712427976,0.789999962,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,9831.972,693.595,45175,19416,,,1,1,0
273,1712427976,0.890000105,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,10008.932,870.555,45140,19522,,,1,1,0
274,1712427976,0.99000001,20.53002477,3.476788763,18.26.14,39.79235837,-86.23865415,11.8,,,,,,,,,10008.932,870.555,45140,19522,,,1,1,0
275,1712427976,1.090000153,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10186.517,1048.14,45098,19697,,,1,1,0
276,1712427976,1.200000048,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10186.517,1048.14,45098,19697,,,1,1,0
277,1712427976,1.299999952,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10365.467,1227.09,45054,19917,,,1,1,0
278,1712427976,1.400000095,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10365.467,1227.09,45054,19917,,,1,1,0
279,1712427976,1.49000001,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10546.304,1407.927,45018,20013,,,1,1,0
280,1712427976,1.590000153,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10546.304,1407.927,45018,20013,,,1,1,0
281,1712427977,1.700000048,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10726.742,1588.365,44977,20180,,,1,1,0
282,1712427977,1.789999962,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10726.742,1588.365,44977,20180,,,1,1,0
283,1712427977,1.900000095,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10909.732,1771.355,44939,20315,,,1,1,0
284,1712427977,1.99000001,23.9679748,6.914738795,18.26.15,39.79238928,-86.23865463,12.4,,,,,,,,,10909.732,1771.355,44939,20315,,,1,1,0
285,1712427977,2.090000153,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11094.117,1955.74,44903,20472,,,1,1,0
286,1712427977,2.190000057,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11094.117,1955.74,44903,20472,,,1,1,0
287,1712427977,2.289999962,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11277.703,2139.326,44873,20567,,,1,1,0
288,1712427977,2.390000105,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11277.703,2139.326,44873,20567,,,1,1,0
289,1712427977,2.5,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11464.616,2326.239,44829,20745,,,1,1,0
290,1712427977,2.600000143,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11464.616,2326.239,44829,20745,,,1,1,0
291,1712427978,2.690000057,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11651.991,2513.614,44786,20918,,,1,1,0
292,1712427978,2.789999962,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11651.991,2513.614,44786,20918,,,1,1,0
293,1712427978,2.890000105,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11839.261,2700.884,44761,21019,,,1,1,0
294,1712427978,3,28.05711339,11.00387739,18.26.16,39.79242605,-86.2386556,13,,,,,,,,,11839.261,2700.884,44761,21019,,,1,1,0
295,1712427978,3.090000153,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12029.318,2890.941,44726,21154,,,1,1,0
296,1712427978,3.200000048,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12029.318,2890.941,44726,21154,,,1,1,0
297,1712427978,3.289999962,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12218.706,3080.329,44705,21190,,,1,1,0
298,1712427978,3.390000105,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12218.706,3080.329,44705,21190,,,1,1,0
299,1712427978,3.49000001,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12407.671,3269.294,44684,21229,,,1,1,0
300,1712427978,3.590000153,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12407.671,3269.294,44684,21229,,,1,1,0
301,1712427979,3.700000048,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12595.447,3457.07,44706,20938,,,1,1,0
302,1712427979,3.789999962,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12595.447,3457.07,44706,20938,,,1,1,0
303,1712427979,3.900000095,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12784.955,3646.578,44650,21242,,,1,1,0
304,1712427979,3.99000001,32.43757011,15.3843341,18.26.17,39.79246543,-86.23865683,15.5,,,,,,,,,12784.955,3646.578,44650,21242,,,1,1,0
305,1712427979,4.090000153,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,12968.63,3830.253,44723,20611,,,1,1,0
306,1712427979,4.190000057,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,12968.63,3830.253,44723,20611,,,1,1,0
307,1712427979,4.299999952,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,13157.545,4019.168,44656,21097,,,1,1,0
308,1712427979,4.400000095,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,13157.545,4019.168,44656,21097,,,1,1,0
309,1712427979,4.49000001,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,13347.024,4208.647,44580,21372,,,1,1,0
310,1712427979,4.600000143,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,13347.024,4208.647,44580,21372,,,1,1,0
311,1712427980,4.700000048,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,13529.497,4391.12,44716,20381,,,1,1,0
312,1712427980,4.789999962,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,13529.497,4391.12,44716,20381,,,1,1,0
313,1712427980,4.890000105,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,13716.096,4577.719,44644,20837,,,1,1,0
314,1712427980,4.99000001,37.18570226,20.13246625,18.26.18,39.79250812,-86.2386584,16.2,,,,,,,,,13716.096,4577.719,44644,20837,,,1,1,0
315,1712427980,5.090000153,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,13898.643,4760.266,44691,20551,,,1,1,0
316,1712427980,5.200000048,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,13898.643,4760.266,44691,20551,,,1,1,0
317,1712427980,5.299999952,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,14071.695,4933.318,44846,19271,,,1,1,0
318,1712427980,5.390000105,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,14071.695,4933.318,44846,19271,,,1,1,0
319,1712427980,5.49000001,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,14254.927,5116.55,44699,20451,,,1,1,0
320,1712427980,5.590000153,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,14254.927,5116.55,44699,20451,,,1,1,0
321,1712427981,5.700000048,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,14436.071,5297.694,44665,20413,,,1,1,0
322,1712427981,5.799999952,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,14436.071,5297.694,44665,20413,,,1,1,0
323,1712427981,5.900000095,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,14617.478,5479.101,44695,20266,,,1,1,0
324,1712427981,6,42.422626,25.36939,18.26.19,39.7925552,-86.23865988,16.7,,,,,,,,,14617.478,5479.101,44695,20266,,,1,1,0
325,1712427981,6.090000153,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,14798.458,5660.081,44684,20232,,,1,1,0
326,1712427981,6.190000057,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,14798.458,5660.081,44684,20232,,,1,1,0
327,1712427981,6.299999952,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,14975.005,5836.628,44727,19870,,,1,1,0
328,1712427981,6.390000105,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,14975.005,5836.628,44727,19870,,,1,1,0
329,1712427981,6.49000001,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,15153.976,6015.599,44713,19913,,,1,1,0
330,1712427981,6.590000153,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,15153.976,6015.599,44713,19913,,,1,1,0
331,1712427982,6.700000048,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,15328.55,6190.173,44742,19534,,,1,1,0
332,1712427982,6.799999952,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,15328.55,6190.173,44742,19534,,,1,1,0
333,1712427982,6.890000105,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,15500.524,6362.147,44778,19344,,,1,1,0
334,1712427982,6.99000001,47.26424426,30.21100826,18.26.20,39.79259873,-86.23866102,17.3,,,,,,,,,15500.524,6362.147,44778,19344,,,1,1,0
335,1712427982,7.090000153,54.7328849,37.67964889,18.26.21,39.7926659,-86.23866087,19.8,,,,,,,,,15679.378,6541.001,44693,19973,,,1,1,0
336,1712427982,7.190000057,54.7328849,37.67964889,18.26.21,39.7926659,-86.23866087,19.8,,,,,,,,,15679.378,6541.001,44693,19973,,,1,1,0
