rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
0,1688709828,0,0,0,06.03.47,-8.89585255,116.3029002,13.2,,,,,7.6134,28.034,0.4955,0,971.715,0,13158,1607,31962,-14560,1,1,0
1,1688709828,0.099999905,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,971.715,0,13158,1607,32029,-14493,1,1,0
2,1688709828,0.20000004768371582,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,975.935,4.219999999999914,13160,1603,32029,-14493,1,1,0
3,1688709829,0.2999999523162842,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,975.935,4.219999999999914,13160,1603,32105,-14417,1,1,0
4,1688709829,0.40000009536743164,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,980.177,8.461999999999989,13158,1611,32105,-14417,1,1,0
5,1688709829,0.5,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,980.177,8.461999999999989,13158,1611,32185,-14337,1,1,0
6,1688709829,0.5999999046325684,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,984.415,12.699999999999932,13157,1609,32185,-14337,1,1,0
7,1688709829,0.7000000476837158,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,984.415,12.699999999999932,13157,1609,32270,-14252,1,1,0
8,1688709829,0.7999999523162842,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,988.636,16.920999999999935,13161,1604,32270,-14252,1,1,0
9,1688709829,0.9000000953674316,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,988.636,16.920999999999935,13161,1604,32351,-14171,1,1,0
10,1688709829,1,5.123818862603651,5.123818862603651,06.03.48,-8.895841517,116.3029455,16.3,,,,,7.6134,28.034,0.4955,0,992.861,21.145999999999958,13159,1605,32351,-14171,1,1,0
11,1688709829,1.0999999046325684,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.6134,28.034,0.4955,0,992.861,21.145999999999958,13159,1605,32448,-14074,1,1,0
12,1688709829,1.2000000476837158,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.4577,28.034,0.6469,0.15140000000000003,997.101,25.385999999999967,13156,1611,32448,-14074,1,1,0
13,1688709830,1.2999999523162842,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.4577,28.034,0.6469,0.15140000000000003,997.101,25.385999999999967,13156,1611,32545,-13977,1,1,0
14,1688709830,1.4000000953674316,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.4577,28.034,0.6469,0.15140000000000003,1001.799,30.083999999999946,13094,1794,32545,-13977,1,1,0
15,1688709830,1.5,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.4577,28.034,0.6469,0.15140000000000003,1001.799,30.083999999999946,13094,1794,32658,-13864,1,1,0
16,1688709830,1.5999999046325684,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.4577,28.034,0.6469,0.15140000000000003,1007.644,35.928999999999974,12933,2259,32658,-13864,1,1,0
17,1688709830,1.7000000476837158,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.4577,28.034,0.6469,0.15140000000000003,1007.644,35.928999999999974,12933,2259,32732,-13790,1,1,0
18,1688709830,1.7999999523162842,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.4577,28.034,0.6469,0.15140000000000003,1013.219,41.50400000000002,12970,2150,32732,-13790,1,1,0
19,1688709830,1.9000000953674316,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.4577,28.034,0.6469,0.15140000000000003,1013.219,41.50400000000002,12970,2150,32866,-13656,1,1,0
20,1688709830,2,10.733741034317234,10.733741034317234,06.03.49,-8.895830067,116.3029952,18.5,,,,,7.4577,28.034,0.6469,0.15140000000000003,1017.092,45.37699999999995,13204,1474,32866,-13656,1,1,0
21,1688709830,2.0999999046325684,18.22907373079313,18.22907373079313,06.03.50,-8.895816833,116.3030621,20.4,,,,,7.4577,28.034,0.6469,0.15140000000000003,1017.092,45.37699999999995,13204,1474,32970,-13552,1,1,0
22,1688709830,2.200000047683716,18.22907373079313,18.22907373079313,06.03.50,-8.895816833,116.3030621,20.4,,,,,7.4577,28.034,0.6469,0.15140000000000003,1021.092,49.37699999999995,13190,1515,32970,-13552,1,1,0
23,1688709831,2.299999952316284,18.22907373079313,18.22907373079313,06.03.50,-8.895816833,116.3030621,20.4,,,,,7.4577,28.034,0.6469,0.15140000000000003,1021.092,49.37699999999995,13190,1515,33085,-13437,1,1,0
24,1688709831,2.4000000953674316,18.22907373079313,18.22907373079313,06.03.50,-8.895816833,116.3030621,20.4,,,,,7.0045,28.0364,0.7882,0.2927,1025.178,53.46300000000008,13179,1550,33085,-13437,1,1,0
25,1688709831,2.5,18.22907373079313,18.22907373079313,06.03.50,-8.895816833,116.3030621,20.4,,,,,7.0045,28.0364,0.7882,0.2927,1025.178,53.46300000000008,13179,1550,33207,-13315,1,1,0
26,1688709831,2.5999999046325684,18.22907373079313,18.22907373079313,06.03.50,-8.895816833,116.3030621,20.4,,,,,7.0045,28.0364,0.7882,0.2927,1029.316,57.601,13172,1570,33207,-13315,1,1,0
27,1688709831,2.700000047683716,18.22907373079313,18.22907373079313,06.03.50,-8.895816833,116.3030621,20.4,,,,,7.0045,28.0364,0.7882,0.2927,1029.316,57.601,13172,1570,33310,-13212,1,1,0
