rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
0,1697005248,0,0,0,06.20.46,13.15472578,77.6995632,2.5,30.2,0.4575,6.2834,0,,,,,627.757,0,12490,2034,,,1,1,0
1,1697005248,0.099999905,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.4665,5.3998,0.009,,,,,632.481,4.724,12497,1898,,,1,1,0
2,1697005248,0.200000048,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.4745,4.8107,0.017,,,,,632.481,4.724,12497,1898,,,1,1,0
3,1697005248,0.299999952,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.486,6.8725,0.0285,,,,,637.338,9.581,12496,1945,,,1,1,0
4,1697005248,0.400000095,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.4955,5.6943,0.038,,,,,637.338,9.581,12496,1945,,,1,1,0
5,1697005248,0.5,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.5028,4.418,0.0453,,,,,642.287,14.53,12493,1969,,,1,1,0
6,1697005248,0.599999905,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.5148,7.167,0.0573,,,,,642.287,14.53,12493,1969,,,1,1,0
7,1697005248,0.700000048,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.5215,4.0253,0.064,,,,,647.046,19.289,12495,1913,,,1,1,0
8,1697005249,0.799999952,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.5311,5.7925,0.0736,,,,,647.046,19.289,12495,1913,,,1,1,0
9,1697005249,0.900000095,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.5415,6.1852,0.084,,,,,651.702,23.945,12497,1862,,,1,1,0
10,1697005249,1,2.568304278,2.568304278,06.20.47,13.1547284,77.69953963,7.7,30.2,0.5498,5.0071,0.0923,,,,,651.702,23.945,12497,1862,,,1,1,0
11,1697005249,1.099999905,5.723010499,5.723010499,06.20.48,13.15473113,77.69951063,10.2,30.2,0.5585,5.2034,0.101,,,,,656.695,28.938,12496,2003,,,1,1,0
12,1697005249,1.200000048,5.723010499,5.723010499,06.20.48,13.15473113,77.69951063,10.2,30.2,0.5691,6.3816,0.1116,,,,,656.695,28.938,12496,2003,,,1,1,0
13,1697005249,1.299999952,5.723010499,5.723010499,06.20.48,13.15473113,77.69951063,10.2,30.2,0.5784,5.5962,0.1209,,,,,661.592,33.835,12499,1955,,,1,1,0
